# DCS_Hosts.txt
# NO9S 08/28/2020 Additional information at end of file
DCS000  dstar.pa7lim.nl
DCS001	dcs001.xreflector.net
DCS002	dcs002.xreflector.net
DCS003	dcs003.xreflector.net
DCS004	dcs004.xreflector.net L
DCS005	dcs005.xreflector.net L
DCS006	dcs006.xreflector.net
DCS007	dcs007.xreflector.net
DCS008	dcs008.xreflector.net
DCS009	dcs009.xreflector.net
DCS010	dcs010.xreflector.net
DCS011	dcs011.xreflector.net
DCS012	dcs012.xreflector.net
DCS013	xlx013.homeip.net
DCS014	dcs014.xreflector.net
DCS015	dcs015.xreflector.net
DCS016	dcs016.xreflector.net
DCS017	dcs017.xreflector.net
DCS018	dcs018.xreflector.net
DCS019	dcs019.xreflector.net
DCS020	xlx020.k2ie.net
DCS021	xlx.projekt-pegasus.net
DCS022	xlx022.tms-it.net
DCS023	dcs023.xreflector.net
DCS024	dcs024.xreflector.net
DCS025	dcs025.xreflector.net
DCS027	dcs027.xreflector.net
DCS029 029.r2i.net
DCS032	158.64.26.140
DCS033	dcs033.xreflector.net
DCS034	dcs034.xreflector.net
DCS035	45.79.94.184
DCS039	collector.webandcloud.net
DCS040	109.71.45.29
DCS041	xrf041.bbhill.net
DCS044	xlx044.va3uv.com
DCS047	222.159.240.243
DCS048 048.ds6.com
DCS049	xlxdni.digitalhamireland.com
DCS052	220.221.212.131
DCS054	52.86.180.251
DCS059	18.219.32.21
DCS061 xlx.mb7vf.uk
DCS062	70.88.145.163
DCS064	202.241.175.133
DCS068	92.222.145.202
DCS071	xrf071.dv.or.kr
DCS072	xlx072-n0mis.ddns.net
DCS075	86.105.55.51
DCS076	203.137.116.117
DCS077	5.249.151.111
DCS081	xlx081jr3vh.jpn.ph
DCS082	xlx082.pungsan.com
DCS083	xlx083.pungsan.com
DCS085	118.152.21.76
DCS086	xlx086.ddns.net
DCS088	xrf088.pa4tw.nl
DCS089	194.109.192.236
DCS090 xlx090.duckdns.org
DCS098	111.168.210.56
DCS099 xlx099.iz7auh.net
DCS100	dcs100.xlxreflector.org L
DCS101	dcs101.xreflector.org L
DCS102	dcs102.xlxreflector.org
DCS103	dcs103.xlxreflector.org
DCS104	dcs104.xreflector.org L
DCS105	xrf105.fr
DCS113 185.203.118.135
DCS115	reflector-xlx.hb9vd.ch
DCS118 5.249.148.252
DCS121	xlx.kc2idb.net
DCS125	xlx125.dyndns.hu
DCS127 pj2man.hopto.org
DCS132	193.106.216.154
DCS134	159.89.176.86	
DCS140	xlx140.nix.pt
DCS145	178.59.23.138
DCS147	46.41.1.127
DCS160	xrf160.xreflector-jp.org
DCS170	dvham.mooo.com 
DCS173 xlx173.ddns.net
DCS191 xlx191.taniqrk5.com
DCS201 xlx201.446em.uk
DCS202	81.4.107.250
DCS204	xlx204.ph0dv.nl
DCS207 xlx.br2sy.net
DCS208 dcs208.f5kav.fr
DCS212	52.38.90.188
DCS214	89.36.214.120
DCS222	93.189.136.50
DCS226	216.158.224.28
DCS229	dstar.hamnet.xyz
DCS230	ref.dstar.cz
DCS241	xlxrem.xreflector.es
DCS256 xrf256.alabamalink.info
DCS248	104.167.104.233
DCS258	xlx258-n0mis.ddns.net
DCS262	xlx.prgm.org
DCS264	52.2.131.118
DCS268	xlx268.from-ct.com
DCS270	158.64.26.132
DCS280	iz8izj.ddns.net
DCS287 xlx287.zl2wl.nz
DCS290	xlx.digitalsicilia.it
DCS295	xlx295.dyndns.org
DCS305 xlx.m5adi.com
DCS307	xlx307.ddns.net
DCS310	162.244.25.94
DCS311	78.47.206.12
DCS312	xlx.dmr-marc.net
DCS313	xlx313.openstd.net
DCS314	162.248.10.154
DCS315 65.101.7.50
DCS317	107.170.195.225
DCS319 dcs319.ddns.net
DCS329	xrf329.aa0.netvolante.jp
DCS332 xlx332.ddns.net
DCS333 194.116.29.73
DCS357	162.244.28.186
DCS358	xlx358.ddns.net
DCS359	xlx359.ddns.net
DCS360	xrf360.xreflector-jp.org
DCS365	xrf365.dip.jp
DCS370	188.213.168.24
DCS371	xlx371.selfip.com
DCS389	xlxdmr.duckdns.org
DCS390 xlx390.aotnetit
DCS400	c4fm.ysfreflector.de
DCS404	xlx.bendiksverden.net
DCS410	xrf410.n5amd.com
DCS416 freestar.homelinux.net
DCS420	xlx.420reflector.net
DCS421 9v1lh.spdns.org
DCS422 dl-nordwest.spdns.de
DCS435	veb986.mydns.jp
DCS444	xlx444.pa3dfn.nl
DCS450	dcs450.xreflector.org L\
DCS451 451.ds6.com
DCS452 452.ds6.com
DCS456	xlx456.de
DCS466 xlx466.sddstar.com
DCS470 104.49.29.243
DCS477	xlx.hubnetwork.uk
DCS486 xlx486.iz8gur.it
DCS501	reflector.tomasone.com
DCS502	xlx502.xlx.ar-dns.net
DCS508	185.188.4.15
DCS515	xrf515.xreflector-jp.org
DCS518	176.9.1.168
DCS519	xrf519.ve3zin.com
DCS520	xlx.dtdxa.com
DCS522	xlx.lucifernet.com
DCS525 xlx525.ddns.net
DCS542 xlxrpi.duckdns.org
DCS544	xrf544.xreflector-jp.org
DCS555	104.167.117.252
DCS567 xlx567.dstarthailand.com
DCS570	104.128.230.153
DCS573	216.189.148.204
DCS600	xlx600.dvscotland.net
DCS603	24.233.107.8
DCS606	xrf606.org.uk
DCS610	103.1.213.21
DCS626	626.onnz.net
DCS650 acr.wjg.jp
DCS651	66.240.165.26
DCS654 80.211.237.206
DCS699	82.102.5.239
DCS700	78.47.222.93
DCS704	xrf704.xreflector-jp.org
DCS706	dcs706.iz0rin.it
DCS707	xlx.pa7lim.nl
DCS708	xrf708.dip.jp
DCS709	xlx.dvmega.co.uk
DCS724	xlx.dvbrazil.com.br
DCS747	xrf747.de
DCS749	xlx749.duckdns.org
DCS750	xlx750.nz
DCS753 xrf753.xreflector-jp.or
DCS760 xlx760.ddns.net
DCS766	201.62.48.61
DCS770	xrf770.mydns.jp
DCS773	dcs773.iz0rin.it
DCS775	xlx775.duckdns.org
DCS787	46.41.1.96
DCS800	52.26.26.195
DCS801	oe1phs.ddns.net
DCS810	dcs810.xlxreflector.org L
DCS811	dcs811.xlxreflector.org L
DCS813 xlx.sagai.jp
DCS817 18.235.96.93
DCS822 ref822.dstarthailand.com
DCS823 xlx823.dstarthailand.com
DCS828	5.1.85.55
DCS850	88.198.94.77
DCS855	www.n4jes.com
DCS859	xlx859.ke0lmx.net
DCS960 db0ess.de
DCS861 xlx861.ve6meo.ca
DCS866	xlx866.ddns.net
DCS870	xrf870.ddns.net
DCS883	xrf883.mydns.jp
DCS886	118.163.103.179
DCS888	37.187.0.15
DCS892  xlx892.cidcomm.com
DCS897	92.222.23.124
DCS899 xlx899.mywire.org
DCS900	xlx900.dyndns.org
DCS902	104.233.76.150
DCS903 ea1ivq.ddns.net
DCS906 rcveleta.xreflector.es
DCS904	xrf904.xreflector-jp.org
DCS935 xlx935.ddns.net
DCS909	xlx909.ealink.org 
DCS911	xlx.patrweb.com
DCS922 xrf922.mb6er.com
DCS925	xlx925.hopto.org
DCS929	104.167.99.218
DCS930	xreflector.ddns.net
DCS933	xlx933.dstar-france.fr
DCS934 xlx934.arifvj.it
DCS950	158.64.26.134
DCS954 xlx954.wcran.club
DCS957 xlx.dmrbrescia.it
DCS970	xlx970.onogoro.net
DCS972	xlx972.ddns.net
DCS978	xlx978.dyndns.org
DCS980	xlx980.ddns.net
DCS986	xlx986.thueringen.link
DCS989	xlx989.duckdns.org
DCS991 xlx991.iz7auh.net
DCS997	xrf997.iw2gob.it
DCS998	44.140.236.20
DCS999	88.147.102.200
DCSARG xlxarg.xlxreflector.org
DCSCFR xlxcfr.xlxreflector.org
DCSGUS xlxgus.xlxreflector.org
DCSSAT xlx3.k5wh.net
DCSSIN xlx.w9winxlx.us
MB6CY mb6cy.gw.ircddb.net
#EOF
# eMail changes to no9s@xlxreflector.us 
# any emailed to any of my other address will be ignored.
# The format of this file is the name of the reflector followed by its
# IP address or dns name.I prefer to have DNS name as then the changes are easier to keep up with
# when reporting changes to me add this information
# Some information may have been sourced from. Adrian vk4tux.
# Please add @xlxreflector.org - @xlxreflector.us to accepted domains to tour gmail account or check spam folder corespondence 

